rating,text
10,아이가 티니핑 졸업 한 줄 알고 여름 개봉 때 보여주지 않았어요. 뒤늦게 보고 싶다고 졸라서 아쉬워하던 찰나 이렇게 영화관에서 보게되어 감사했답니다. 아이도 너무 좋아했구요♡
10,특가에다가 영화관을 전세낸듯이 봐서 너무 좋았습니다. 최근에 티니핑에 관심이 가는 어른이라.. 영상도 이쁘고 좋았네요
10,아이가 좋아해요 5세 아이도 잘 이해하고 슬퍼서 울더라구요
8,처음본순간나는빠져버렸어
10,너무 재밌었다네요 아이가
10,왜 사람들이 감탄하는지 알겠다.
9,아이가 많이 재미있어 하네요^^
10,아이들이 좋아하네요
10,"극장 상영 때 놓쳐서 아쉬웠는데, 딸아이와 재미나게 봤네요."
10,생각보다 슬프고 재미있었다
10,노래도 좋고 재밌어요!
10,아이들이 너무 재밌게봤어요
10,너무 잼게 봤어요.
10,너무귀여운하츄핑아이들이진짜좋아했어요
10,Very Very good
10,미취학에겐 단연!!!!
10,어른임에도 불구하고 천둥 치는 부분은 무서웠어요. 함께 보던 아이가 무서워하며 결국 영화관을 나가는 모습이 아직도 눈에 아른거립니다.. 노래는 참 좋아요. 성우님 목소리 짱 !!
10,초딩딸이 엄청 재밌었데요
8,어린이들에게 최고.
10,사랑의 하츄핑 아이가 참좋아합니다
10,"10살남아, 8살여아, 40대엄마와 함께 관람했습니다. 어른도 동심의세계 졸지안고 재밌게 봤네요~ 내용도 의리가 있고 뮤지컬 느낌의 뮤직도 좋았어요."
10,동생이랑 같이 시사회 갔는데 너무 재밌었어요 동생은 즐기는데 옆에서 제가 울 뻔
8,"음악이 진짜 좋네요. 배경도 예쁘고, 루미와 하츄핑도 넘 귀엽네요. 근데 극장이 소란할 줄은 알았는데 아이들보다 더 큰 애들이 시끄러워서 힘들고 속상했네요 😢 😥"
10,재밌어요 F 아들은 울었어요ㅎㅎ
8,"아름다운 이야기, 어른도 눈물이 찔끔"
10,영화관에서 보기 좋아요
10,오에스티가 찐이였오요
10,너무즐거웠어요 노래와 율동 정말즐거웠어요
7,사랑의 하츄핑 좋아요 .
7,사랑의 하츄핑 재밌었어요
6,딱 얘들이 좋아할만하게 잘만든 우정영화
10,애들은 그렇다치고 부모들은 조용히 영화좀 봅시다
8,사랑이네 아이가 좋아하네요
10,아이가 아주 좋아해요
10,아이들이 좋아 합니다.
8,재밌긴 해요ㅋㅋㅋㅋ… 로미가 하츄핑에 왜 그리 꽂혔는진 모르겠지만
10,"스토리는 어린이용이라 유치하지만 영상 ,ost가 좋구 감동도 있어서 재밌게봄"
10,아이랑 함께 봤는데 스토리가 짱짱해요..! 마지막에 울컥하며 봤네요ㅜㅜ
7,호기심핑으로 들어가서 눈물핑으로 나와..
10,아이가 너무 재미있게 봤다네요^^
10,아기랑잘봤어요 ㅎㅎ 잼있었어요^-^
10,어른이 봐도 재밌었습니다.
8,노래가 좋아요 잘 봤습니다
10,듣던대로 엄마도 재밌는 티니핑
10,재미있음 음악이 좋음
10,어른들도 울리는 감동적인스토리
10,너무재밌고 감동적이었어요~
10,애들이 너무 좋아해요 특히 노래를..
10,아이들과 재미나게 봤어요
9,사랑스러운 애니메이션
10,아이랑보는데 감동의 눈물이 나네요
10,조카가 좋아해서 같이 봤어요ㅎ
8,아이들이 좋아하면 그걸로 된거죠
10,아이가 재밌게 보니 만족스런 영화네요!
10,아이들이 재미있어 하네요 ㅎㅅㅎ
10,아이가 울더라구요 슬펐나봐요
10,아이랑 보기 너뮤 좋아요
10,작품성. 노래도 참 좋았어요
10,어린이들을 위한 최고의 영화
9,스토리도 나쁘지 않았는데 어린이 만화라 다 생각되는 이야기같아요 노래나 캐릭터는 좋았어용
9,생각보단 나쁘지않네요
10,어른들의눈물을쏫게만드느느
9,조카따라갔다가 이모 눈이서 눈물이 또르르ㅠ
10,잘 보았습니다~~~!
10,재미있네요 지루하지 않았어요
10,노래가 듣기 좋고 뮤지컬적인 요소가 많아서 보는 맛이 있어요 핑들은 너무 귀여워요
10,너무 재미있었어요! 로미♡하츄핑 forever~!!!
9,아이와 즐거운 시간을 보냈다요
6,어른이보기에는 스토리나 ost가사가 많이 유치하긴해요 6살아이가 보기에는 괜찮았나봅니다
10,초등아이가 눈물흘리고 나왔어요 ..
10,아이들이랑보기좋아요
10,아이들이 진짜 좋아하긴하네요
10,딸아이가 눈을 못때네요ㅎ
10,아이들이 좋아합니다
9,"미취학 아이들 관련 일을 하고 있어서 보러 갔습니다. 절반 넘도록 좀 유치했는데, 후반부로 갈수록 재미가 느껴지고 감동도 있었어요. 영아 대상은 아니고, 유아랑 학령기 여아 수준."
10,아이가 너무 좋아해요
10,"10살 남자아이랑 같이 관람 했는데 , 재미 있다구 하네요 ~!"
5,평에 비해 너무 별루였네요 차라리 같은 애니인 트랜스포머 원이 백만배 더 재밌었음
10,너무잫봤고 재미있었습니다
7,어른들도 감동받았다는 평에 남편 꼬여 관림했는데 딱 초딩 저학년용이네요 나쁘진 않았지만 과대평가 된 듯.
8,생각보다 괜찮았당 조카는 눈물을 보였당
10,아이와 재미있게 봤어요
10,하츄핑 너무 귀여워요 힐링되는 영화입니다
10,노래 넘 이쁘고 좋아요^^ 아이랑 둘이 감성 풀 충전하고 왔어요~!!
10,조아요 재밋게봤어요 애들이좋아해요
