no,rating,text
1,1,"삼성 닷컴에서 갤럭시Z폴더 자급제 구매 했습니다. 근데 배송 날짜에 배송 안되고 계속 배송 지연입니다. 정말로 짜증납니다. 주문받을때는 모든 미사여구를 다 사용해서 판매를 하면서 배송예정 날짜를 껌십듯 쉽게 바꿉니다. 정말로 추천합니다. 삼성닷컴에서는 주문하지 마세요.
배송 날짜도 매일 바뀝니다. 이제 삼성닷컴을 믿을수가 없습니다. 정말로 삼성에 대해 실망했습니다. 우리나라 최고기업이라는데 이정도인줄 몰랐습니다."
2,1,"1. 갤럭시 워치와 기능이 겹쳐서 두가지를 동시에 사용하기가 무의미합니다.

2. 두께가 두꺼워서 손가락에 끼고 사용할때 아프고 불편합니다. 특히 운동할때는 더 아파서 끼고 운동할수 없어요."
3,1,"착용감 불편
디자인 너무 이상합니다
다들 갤럭시링인거는 전혀 모르고 이상한 링끼고 있다고 생각함
장인 장모님 사드렸는데 두분다 착용안하심
사드리고도 서로 불편한 민망한 상황
당연히 있을거라고 생각했던 위급상황에 신고기능 없음
대체 이거는 좋다고 상품평 쓰는 사람이 있기는 하나요???
삼성에 대한 신뢰감이 바닥을 치네요
이정도면 안팔아야죠"
4,1,"한마디로 실망입니다.
대기업 삼성이 좋아 믿고 시중에 판매되는 일반제품에 비해 10배의 금액으로 구입했는데
너무 실망입니다.
불루투스기능은 휴대폰과 조금만 떨어져도 끊어지고 가까이 돌아와도 자동연결이 않됩니다.
사진촬영시 리모콘기능도 된다고 했는데 되지 않습니다.
또 운동기능 자동 자동인식은  실외자전거가 인식되지않습니다. 
1588-3366으로 전화해서 문의하니 제품에이상이 있는 것 같다며, 서비스로 가보라고 하네요
휴일이라 며칠째 스트레스 입니다."
5,2,"링은 나오자마자 사전예약으로 구입했는데...
핸드폰 소프트웨어 업데이트를 왜 안해줍니까?
제가 사용 모델은 S21 + 인데 
버전 6.1.1은 최신기종만 되고 안해줍니다
링의 기능을 다 사용 못하는데 점수를 높게 줄수있나요? 
빠른 조치가 안되서 정말 실망이네요"
6,2,"솔직히 성능? 기능? 면에선 워치를 착용하는 입장에서 이점을 잘 모르겠음
또한 가격이 49만원이란 가격이 어떻게 측정된것이지 의문점만 생김 아무리 첫출시 하는기기이고 하지만
사전예약 혜택은 미미하여 없으나 마나했어도 호기심에 구매를 하긴 했는데... 
앞으론.. 절때 링 구매는 없을꺼 같음 주변인들에서 추천 하고 싶지 않음.."
7,2,"수면 밖에 측정할수 없는 성능 대비 가격이 너무 비싸고 불편해서 사용하지 않고있습니다. 수면 측정 이외는 시계로 충분히 할수 있어서, 혈당측정 등 새로운 기능이 없다면 추가 구매는 안할듯 합니다."
8,2,"성능이 별로에요
건강관리 기능이 생각보다 정확하지 않습니다"
9,3,"성능 대비 가격이  매우  비쌈

구매를 하였으나 워치로 링의 모든 기능이 가능 하여 링에 대한 필요성을 느끼지 못하였음.

(하지만 필자의 경우 수면용으로 사용하고 있기는 함)"
10,3,시간이 경과될수록 충전량이 떨어짐
11,3,"이쁨니다 ~~ 
근데 혈압때문에 샀는데 측정하질 않습니다ㅡㅡ"
12,3,수면관리와 체계적인 운동량 체크에  도움이 되는것 같아요
13,4,"손가락이 굵은 편인데 ... 착용감에 약간 굵다는 생각이 드네요...
그 외 사용해  봐야 알겠지만.."
14,4,"긴 할부로 구독형 서비스라 생각하고 구매했습니다.

장점
1. 편리한 연결
2. 매우 가벼운 무게
3. 우수한 내구성

단점
1. 기능 대비 비싼가격
2. 장난감 같은 외관마감(전 색상)

정도로 정리해볼 수 있을거 같습니다."
15,4,디자인 및 성능이 마음에 듭니다. 배터리관련하여  좀더 사용해봐야 겠지만 현재는 마음에 듭니다
16,4,"  삼성 헬스와의 연결이 매끄럽고, 전체가 플라스틱이 아닌것이 천만 다행...
다만, 바지 주머니에 넣은걸 깜빡하고, 찾기 기능을 써 보았으나, 찾을 수가 없었는데, 
""삐"" 소리라도 있었으면 좋겠다는 생각....만약, 바지 주머니가 아닌 다른 곳(집안에서도 마찬가지)에서
분실할 경우, 찾는 건 포기해야 할 듯.... 찾기 기능은 구색 갖추기 정도로 그냥 유명무실... 절대 보완 필요함...."
17,4,반지가 가벼워서 착용감이 좋네요
18,4,"성능은 알고 구매한 것이기에 불만없이 잘 사용하고 있으나 쥬얼리한 느낌보다 의료기기 필만 있는듯해요
무난하게 착용할 수 있는 컬러감이었으면 더 좋을 듯해요"
19,5,빠른 시간 안에 S24와 호환 부탁드려요.
20,5,"상당히 가볍고 밤에 잠 때 무게나 착용감으로 인한 불편함은 전혀 없습니다.

티타늄 블랙으로 구입했는데 색깔도 깔끔하고 괜찮습니다!

코콜이 자동녹음까지....ㅡ,.ㅡㅋㅋㅋ

당신의 수면을 조금 더 디테일하게 알고 싶다면

구매를 추천!"
21,5,"편리하고
건강체크 하기에 좋네요"
22,5,빠른배송 디자인 만족합니다
23,5,편리하고너무너무 좋습니다 
24,5,컬러도 맘에 들고 디자인도 맘에 들어요 근데 잘 작동 하는 건지 잘 모르겠어요
25,5,좋아요 좋아요 ㅎㅎ 네 ㅎㅎ 
26,5,"특별히 결점도, 아직 뚜렸한 장점도 찾지 못했어요...써본다 얼마되지도 않은 상품에 대해 상품평을 요구하는것이 별로 좋지 않군요…"
27,5,제품을 받고사용해보니 너무 만족합니다.
28,5,"착용감도 좋고, 스타일도 괜찬고, 건강관리에 도움이 되는 것 같습니다."
29,5,지연  배송이되었지만 고객에게 먼저 연락을해 지연배송에 대한 자세한설명이 있었고 제품을 받았을때는 간단한 사용 설명과 착용시에도 불편함이 없고 수면효과를 워치 보다는 더자세히 알수가 있어서 매우좋고 일상 생활하기에도 편리함
30,5,링을사용해보니 너무만족합니다.
31,5,건강체크에 도움이 됩니다
32,5,"일단 일주일 쓰는 밧데리~
시계를 안차도 정보를 제공하는 부분~"
33,5,"빠른 배송 넘 감사합니다.
디자인이 쏙 맘에 들어요"
34,5,색상도이쁘고마음에드네요
35,5,수면체크나 하루컨디션이 나와서좋아요
36,5,"사용감이 좋네요
뭐니 뭐니해도  착용감의편리성이 최고죠"
37,5,"빠른 배송 감사합니다.
정말 편하고 좋아요~~"
38,5,다양 한 색깔 기능이 추가 되길 특히 페이기능이
39,5,"인터넷을 보고 여러 제품을 사서 구입해봤는데. 이중 갤럭시 링이 가장 마음에 들었어요.
디지털 헬스케어 제품을 보는 중 갤럭시링이 갖고 싶어졌어요."
40,5,"수면 측정용으로 구매.
가끔 안되는경우 종종발생"
41,5,제품과 배송 매우 만족합니다 
42,5,"여자친구랑 스마트한 삶을 느낄려고 커플링 으로 구입 하여 선물 해주었습니다..

연인과 커플링 으로 최고 
친구 들과 돈독한 우정의반지 로도 최고 인거 같습니다."
43,5,"성능이  좋고  
착용감이  매우  만족합니다"
44,5,"반지가 심플하고 전자기기다보니 성능도 좋네요
고민을 많이했는데 감사합니다."
45,5,"빠른배송 좋은제품 감사합니다.

다음에 또 주문하겠습니다."
46,5,현재로서는 만족합니다
47,5,"금요일날 키트껴보고 토요일 배송 됬어요
겁나 빠름
금색 11호 사서 가운데 손가락이랑 검지링 번갈아 끼고있어요
이뻐요 금반지인지 링인지 그분이 안될정도의 퀄리티
강추합니다."
48,5,심박수.수면.에너지 상태 양호함
49,1,"처음사용할 때는 원래그런가뵏ㆍ 하고 썼는데
한달 넘게 써보니,"
